Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GF","Forest Land","5100","Africa","5110","Area","6646","Forest land","2000","2000","1000 ha","670372.15","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GF","Forest Land","5100","Africa","5110","Area","6646","Forest land","2001","2001","1000 ha","667233.51","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GF","Forest Land","5100","Africa","5110","Area","6646","Forest land","2002","2002","1000 ha","664094.85","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GF","Forest Land","5100","Africa","5110","Area","6646","Forest land","2003","2003","1000 ha","660956.21","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GF","Forest Land","5100","Africa","5110","Area","6646","Forest land","2004","2004","1000 ha","657817.55","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GF","Forest Land","5100","Africa","5110","Area","6646","Forest land","2005","2005","1000 ha","654678.91","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GF","Forest Land","5100","Africa","5110","Area","6646","Forest land","2006","2006","1000 ha","651399.56","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GF","Forest Land","5100","Africa","5110","Area","6646","Forest land","2007","2007","1000 ha","648120.21","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GF","Forest Land","5100","Africa","5110","Area","6646","Forest land","2008","2008","1000 ha","644840.86","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GF","Forest Land","5100","Africa","5110","Area","6646","Forest land","2009","2009","1000 ha","641561.51","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GF","Forest Land","5100","Africa","5110","Area","6646","Forest land","2010","2010","1000 ha","638282.16","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GF","Forest Land","5100","Africa","5110","Area","6646","Forest land","2011","2011","1000 ha","635446.26","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GF","Forest Land","5100","Africa","5110","Area","6646","Forest land","2012","2012","1000 ha","632610.35","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GF","Forest Land","5100","Africa","5110","Area","6646","Forest land","2013","2013","1000 ha","629774.45","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GF","Forest Land","5100","Africa","5110","Area","6646","Forest land","2014","2014","1000 ha","626938.53","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GF","Forest Land","5100","Africa","5110","Area","6646","Forest land","2015","2015","1000 ha","624102.63","A","Aggregate, may include official, semi-official, estimated or calculated data"
"GF","Forest Land","5100","Africa","5110","Area","6646","Forest land","2016","2016","1000 ha","621266.73","A","Aggregate, may include official, semi-official, estimated or calculated data"
