Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1961","1961","m3","172596","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1962","1962","m3","174779","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1963","1963","m3","176990","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1964","1964","m3","179229","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1965","1965","m3","181496","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1966","1966","m3","183792","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1967","1967","m3","186116","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1968","1968","m3","188471","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1969","1969","m3","190855","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1970","1970","m3","193269","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1971","1971","m3","201333","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1972","1972","m3","208342","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1973","1973","m3","209104","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1974","1974","m3","210933","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1975","1975","m3","214184","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1976","1976","m3","215302","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1977","1977","m3","217038","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1978","1978","m3","217321","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1979","1979","m3","219082","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1980","1980","m3","219156","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1981","1981","m3","215097","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1982","1982","m3","209486","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1983","1983","m3","202958","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1984","1984","m3","195652","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1985","1985","m3","190766","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1986","1986","m3","185964","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1987","1987","m3","188518","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1988","1988","m3","192328","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1989","1989","m3","198810","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1990","1990","m3","207375","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1991","1991","m3","213535","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1992","1992","m3","227614","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1993","1993","m3","244839","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1994","1994","m3","264062","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1995","1995","m3","284253","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1996","1996","m3","305816","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1997","1997","m3","328130","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1998","1998","m3","343516","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","1999","1999","m3","363016","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","2000","2000","m3","383634","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","2001","2001","m3","394265","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","2002","2002","m3","405208","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","2003","2003","m3","416474","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","2004","2004","m3","428071","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","2005","2005","m3","440011","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","2006","2006","m3","449481","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","2007","2007","m3","459180","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","2008","2008","m3","469114","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","2009","2009","m3","479289","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","2010","2010","m3","498712","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","2011","2011","m3","498857","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","2012","2012","m3","508207","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","2013","2013","m3","517770","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","2014","2014","m3","527549","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","2015","2015","m3","537551","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","2016","2016","m3","547167","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1627","Wood fuel, coniferous","2017","2017","m3","556996","F","FAO estimate"
"FO","Forestry Production and Trade","2","Afghanistan","5516","Production","1628","Wood fuel, non-coniferous","1961","1961","m3","402695","F","FAO estimate"
