Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1627","Wood fuel, coniferous","2010","2010","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1627","Wood fuel, coniferous","2011","2011","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1627","Wood fuel, coniferous","2012","2012","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1627","Wood fuel, coniferous","2013","2013","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1627","Wood fuel, coniferous","2014","2014","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1627","Wood fuel, coniferous","2015","2015","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1627","Wood fuel, coniferous","2016","2016","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1627","Wood fuel, coniferous","2017","2017","m3","0","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1961","1961","m3","1571","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1962","1962","m3","1547","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1963","1963","m3","1524","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1964","1964","m3","1501","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1965","1965","m3","1479","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1966","1966","m3","1457","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1967","1967","m3","1435","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1968","1968","m3","1414","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1969","1969","m3","1392","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1970","1970","m3","1372","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1971","1971","m3","1358","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1972","1972","m3","1371","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1973","1973","m3","1357","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1974","1974","m3","1342","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1975","1975","m3","1329","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1976","1976","m3","1309","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1977","1977","m3","1262","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1978","1978","m3","1243","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1979","1979","m3","1198","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1980","1980","m3","1180","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1981","1981","m3","1164","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1982","1982","m3","1183","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1983","1983","m3","1182","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1984","1984","m3","1208","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1985","1985","m3","1233","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1986","1986","m3","1259","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1987","1987","m3","1266","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1988","1988","m3","1213","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1989","1989","m3","1208","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1990","1990","m3","1194","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1991","1991","m3","1200","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1992","1992","m3","1184","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1993","1993","m3","1151","F","FAO estimate"
"FO","Forestry Production and Trade","22","Aruba","5516","Production","1628","Wood fuel, non-coniferous","1994","1994","m3","1110","F","FAO estimate"
