Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FO","Forestry Production and Trade","3","Albania","5516","Production","1627","Wood fuel, coniferous","1961","1961","m3","260000","","Official data"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1627","Wood fuel, coniferous","1962","1962","m3","221000","","Official data"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1627","Wood fuel, coniferous","1963","1963","m3","262000","","Official data"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1627","Wood fuel, coniferous","1964","1964","m3","337000","","Official data"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1627","Wood fuel, coniferous","1965","1965","m3","362000","","Official data"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1627","Wood fuel, coniferous","1966","1966","m3","293000","","Official data"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1627","Wood fuel, coniferous","1967","1967","m3","242000","","Official data"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1627","Wood fuel, coniferous","1968","1968","m3","325000","","Official data"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1627","Wood fuel, coniferous","1969","1969","m3","418000","","Official data"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1627","Wood fuel, coniferous","1970","1970","m3","420000","F","FAO estimate"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1627","Wood fuel, coniferous","1971","1971","m3","400000","F","FAO estimate"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1627","Wood fuel, coniferous","1972","1972","m3","400000","F","FAO estimate"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1627","Wood fuel, coniferous","1973","1973","m3","400000","F","FAO estimate"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1627","Wood fuel, coniferous","1974","1974","m3","400000","F","FAO estimate"
"FO","Forestry Production and Trade","3","Albania","5516","Production","1627","Wood fuel, coniferous","1975","1975","m3","400000","F","FAO estimate"
